"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fund_expenditure_type","fares_and_other_directly","fares_and_other_directly_1","taxes_fees_levied_by_transit","taxes_fees_levied_by_transit_1","local","local_questionable","state_1","state_questionable","federal","federal_questionable","total","total_questionable"
"Ashtabula County Transportation System","Jefferson","OH","50390","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","Funds Expended on Operations","333692",,"0",,"66259",,"146648",,"733263",,"1279862",
"Ashtabula County Transportation System","Jefferson","OH","50390","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Edgerton, dba: Edgerton Taxi","Edgerton","WI","50391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Edgerton, dba: Edgerton Taxi","Edgerton","WI","50391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Operations","13724",,"0",,"30431",,"11338",,"41769",,"97262",
"YMCA of Vincennes, dba: VanGo","Vincennes","IN","50392","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","Funds Expended on Capital","0",,"0",,"51934",,"0",,"187970",,"239904",
"YMCA of Vincennes, dba: VanGo","Vincennes","IN","50392","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","Funds Expended on Operations","47556",,"0",,"697695",,"147038",,"503195",,"1395484",
"Trailblazer Joint Powers Board, dba: Trailblazer Transit","Glencoe","MN","50394","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"35","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Trailblazer Joint Powers Board, dba: Trailblazer Transit","Glencoe","MN","50394","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"35","Funds Expended on Operations","1260211",,"0",,"0",,"2671031",,"2101868",,"6033110",
"Gladwin County Board of Commissioners","Gladwin","MI","50395","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","Funds Expended on Operations","241531",,"0",,"652893",,"902260",,"425768",,"2222452",
"Gladwin County Board of Commissioners","Gladwin","MI","50395","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","Funds Expended on Capital","0",,"0",,"0",,"53080",,"212319",,"265399",
"City of Jefferson, dba: Jefferson Shared-Ride Taxi","Jefferson","WI","50396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Jefferson, dba: Jefferson Shared-Ride Taxi","Jefferson","WI","50396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","44056",,"0",,"49735",,"30020",,"95537",,"219348",
"Hubbard County, dba: Hubbard County Heartland Express","Park Rapids","MN","50397","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"46506",,"0",,"82678",,"129184",
"Hubbard County, dba: Hubbard County Heartland Express","Park Rapids","MN","50397","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","73012",,"0",,"76999",,"315117",,"226606",,"691734",
"City of Belding","Belding","MI","50398","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"88715",,"354859",,"443574",
"City of Belding","Belding","MI","50398","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","61240",,"0",,"49440",,"111758",,"54883",,"277321",
"Fayette County Senior Center, dba: Fayette County Public Transit","Connersville","IN","50399","Area Agency on Aging","Rural Reporter","2024",,,,"9","Funds Expended on Operations","53417",,"0",,"112645",,"94637",,"207281",,"467980",
"Fayette County Senior Center, dba: Fayette County Public Transit","Connersville","IN","50399","Area Agency on Aging","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Fort Atkinson, dba: Brown Cab","Fort Atkinson","WI","50400","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","Funds Expended on Capital","0",,"0",,"14452",,"0",,"57810",,"72262",
"City of Fort Atkinson, dba: Brown Cab","Fort Atkinson","WI","50400","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","Funds Expended on Operations","145436",,"0",,"0",,"60020",,"105546",,"311002",
"Bay Area Rural Transit Commission","Ashland","WI","50401","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","Funds Expended on Capital","0",,"0",,"533296",,"0",,"2133185",,"2666481",
"Bay Area Rural Transit Commission","Ashland","WI","50401","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","Funds Expended on Operations","165742",,"0",,"655140",,"201775",,"856915",,"1879572",
"Wells County Council on Aging, dba: Wells on Wheels","Bluffton","IN","50403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","Funds Expended on Operations","42408",,"0",,"285711",,"122370",,"408079",,"858568",
"Wells County Council on Aging, dba: Wells on Wheels","Bluffton","IN","50403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"190584",,"0",,"661128",,"851712",
"City of Greenville","Greenville","MI","50404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"20625",,"82500",,"103125",
"City of Greenville","Greenville","MI","50404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","46536",,"0",,"117692",,"158709",,"70889",,"393826",
"City of Wisconsin Rapids, dba: Wisconsin Rapids Public","Wisconsin Rapids","WI","50405","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Capital","0",,"0",,"9599",,"0",,"38396",,"47995",
"City of Wisconsin Rapids, dba: Wisconsin Rapids Public","Wisconsin Rapids","WI","50405","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Operations","325337",,"0",,"201015",,"235320",,"520053",,"1281725",
"Lancaster Public Transit System, dba: Lancaster-Fairfield Public Transit","Lancaster","OH","50406","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19234","Columbus, OH","1567254","16","Funds Expended on Operations","505334",,"0",,"266710",,"428189",,"1083520",,"2283753",
"Lancaster Public Transit System, dba: Lancaster-Fairfield Public Transit","Lancaster","OH","50406","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19234","Columbus, OH","1567254","16","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Bedford, dba: Transit Authority of Stone City","Bedford","IN","50407","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"106767",,"0",,"291021",,"397788",
"City of Bedford, dba: Transit Authority of Stone City","Bedford","IN","50407","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","0",,"0",,"298923",,"169248",,"297705",,"765876",
"Hancock, City of","Hancock","MI","50408","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Hancock, City of","Hancock","MI","50408","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","62092",,"0",,"91720",,"148643",,"66392",,"368847",
"Clintonville Transit Commission, dba: Clintonville Taxi","Clintonville","WI","50409","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"2","Funds Expended on Operations","12113",,"0",,"54315",,"12696",,"76140",,"155264",
"Clintonville Transit Commission, dba: Clintonville Taxi","Clintonville","WI","50409","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Fayette County Transportation Program, dba: Fayette County Transportation","Washington Court House","OH","50410","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","Funds Expended on Capital","0",,"0",,"80364",,"0",,"288106",,"368470",
"Fayette County Transportation Program, dba: Fayette County Transportation","Washington Court House","OH","50410","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","Funds Expended on Operations","649322",,"0",,"52284",,"442392",,"860315",,"2004313",
"Logan County, dba: SHOW BUS Public Transportation, NFP","Lincoln","IL","50411","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Logan County, dba: SHOW BUS Public Transportation, NFP","Lincoln","IL","50411","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","230",,"0",,"0",,"103240",,"116362",,"219832",
"City of Freeport, dba: Pretzel Area Transit","Freeport","IL","50412","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Operations","81645",,"0",,"0",,"773223",,"335517",,"1190385",
"City of Freeport, dba: Pretzel Area Transit","Freeport","IL","50412","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Bay Area Transportation Authority","Traverse City","MI","50413","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88300","Traverse City--Garfield, MI","56890","51","Funds Expended on Capital","0",,"0",,"0",,"8067464",,"5624030",,"13691494",
"Bay Area Transportation Authority","Traverse City","MI","50413","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88300","Traverse City--Garfield, MI","56890","51","Funds Expended on Operations","553249",,"0",,"4217116",,"4859296",,"2212256",,"11841917",
"West Central Mass Transit District","Jacksonville","IL","50414","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"West Central Mass Transit District","Jacksonville","IL","50414","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25","Funds Expended on Operations","260292",,"0",,"62105",,"1849337",,"333163",,"2504897",
"Greenville Transit System","Greenville","OH","50415","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Greenville Transit System","Greenville","OH","50415","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Operations","318954",,"0",,"6159",,"256806",,"336248",,"918167",
"Mecosta Osceola Transit Authority","Big Rapids","MI","50416","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","Funds Expended on Operations","113041",,"0",,"910385",,"870363",,"269046",,"2162835",
"Mecosta Osceola Transit Authority","Big Rapids","MI","50416","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","Funds Expended on Capital","0",,"0",,"0",,"44934",,"179735",,"224669",
"City of Tomah, dba: Tomah Transit","Tomah","WI","50418","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"59535",,"0",,"238139",,"297674",
"City of Tomah, dba: Tomah Transit","Tomah","WI","50418","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","268740",,"0",,"144112",,"185540",,"306742",,"905134",
"Tazewell County, dba: TCRC Inc., DBA We Care","Pekin","IL","50420","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","Funds Expended on Operations","25140",,"0",,"0",,"765499",,"309215",,"1099854",
"Tazewell County, dba: TCRC Inc., DBA We Care","Pekin","IL","50420","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Morgan County Transit","Mcconnelsville","OH","50421","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","Funds Expended on Capital","0",,"0",,"0",,"137223",,"84147",,"221370",
"Morgan County Transit","Mcconnelsville","OH","50421","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","Funds Expended on Operations","718172",,"0",,"1643",,"50000",,"784326",,"1554141",
