"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fares","fares_questionable","park_and_ride","park_and_ride_questionable","concessions","concessions_questionable","advertising","advertising_questionable","other","other_questionable","purchased_transportation","purchased_transportation_1","total","total_questionable"
"Seneca-Crawford Area Transportation, dba: North Central Area Transit","Tiffin","OH","50440","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"31","77953",,,,,,,,"256856",,"0",,"334809",
"Living Wells in Wabash County Council on Aging, dba: Wabash County Transit","Wabash","IN","50441","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","2805",,,,,,,,"8821",,,,"11626",
"County of La Crosse, dba: Scenic Mississippi Regional Transit","La Crosse","WI","50442","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","28676",,,,,,,,,,,,"28676",
"White County Council on Aging, dba: White County Public Transit","Monticello","IN","50444","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","15396",,,,,,,,,,,,"15396",
"Wadena County, dba: Friendly Rider","Wadena","MN","50446","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","144318",,,,,,,,"0",,"0",,"144318",
"Coles County, dba: Coles County Council on Aging","Charleston","IL","50447","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","103459",,,,,,,,"211627",,"0",,"315086",
"Watonwan County, dba: Watonwan Take Me There","Saint James","MN","50448","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","56025",,,,,,,,"0",,"0",,"56025",
"Cedar Valley Services, Inc., dba: Southern Minnesota Area Rural Transit","Austin","MN","50450","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"29","397531",,,,,,,,"0",,"0",,"397531",
"Antrim County Board of Commissioners","Bellaire","MI","50452","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","21735",,,,,,,,"36694",,,,"58429",
"Clare County Transit Corporation","Harrison","MI","50453","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","101651",,,,,,,,"176301",,,,"277952",
"Miami County YMCA, dba: YMCA - Miami County Public Transit","Peru","IN","50454","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","43654",,,,,,,,,,,,"43654",
"Gogebic County Transit","Ironwood","MI","50455","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","41774",,,,,,,,"29741",,,,"71515",
"County of Allegan","Allegan","MI","50456","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"22","97135",,,,,,,,"79172",,,,"176307",
"Benzie Transportation Authority","Beulah","MI","50457","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","242220",,,,,,,,"111497",,,,"353717",
"Whiteside County, dba: Whiteside County Public Transportation","Morrison","IL","50458","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","10513",,,,,,,,"28849",,"0",,"39362",
"Ludington Mass Transportation Authority","Ludington","MI","50459","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","170554",,,,,,,,"106788",,,,"277342",
"City of Manitowoc, dba: Maritime Metro Transit","Manitowoc","WI","50461","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","173468",,,,,,,,"0",,"0",,"173468",
"Harrison County Rural Transit","Cadiz","OH","50462","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","28720",,,,,,,,"182758",,,,"211478",
"Berrien County Board of Commissioners","Saint Joseph","MI","50463","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","34547",,,,,,,,,,,,"34547",
"Pike County/Community Action Transit System, dba: Community Action Transit System","Piketon","OH","50464","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","11389",,,,,,,,"230994",,"0",,"242383",
"City of Beaver Dam, dba: Beaver Dam Shared Ride Taxi","Beaver Dam","WI","50466","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","277025",,,,,,,,"0",,"0",,"277025",
"Whitley County Council on Aging, dba: Whitley County Transit","Columbia City","IN","50468","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","137798",,,,,,,,"22562",,,,"160360",
"City of Portage, dba: Portage Cab","Portage","WI","50470","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","391433",,,,,,,,"0",,"0",,"391433",
"Southwestern MN Opportunity Council, Inc., dba: Prairieland Transit System","Worthington","MN","50471","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","48684",,,,,,,,"0",,"0",,"48684",
"Lenawee Public Transportation Authority","Adrian","MI","50473","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","91338",,,,,,,,"12658",,,,"103996",
"Tri-County Action Program, Inc.","Waite Park","MN","50474","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","440465",,,,,,,,"0",,"0",,"440465",
"Yates Township","Idlewild","MI","50476","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","41406",,,,,,,,"180404",,,,"221810",
"City of Marinette, dba: Marinette City Shared Ride Taxi","Marinette","WI","50478","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","148876",,,,,,,,"0",,"0",,"148876",
"Columbiana County/Community Action Rural Transit System, dba: Community Action Rural Transit System","Lisbon","OH","50481","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"27","59501",,,,,,,,"994657",,,,"1054158",
"City of Prairie du Chien, dba: Coulee Cab","Prairie Du Chien","WI","50482","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","110116",,,,,,,,"0",,"0",,"110116",
"Franklin County Senior Services, dba: Franklin County Public Transit","Brookville","IN","50483","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","17583",,,,,,,,"7837",,,,"25420",
"Fulton County Council on Aging, dba: Fulton County TRANSPO","Rochester","IN","50484","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","86458",,,,,,,,"8346",,,,"94804",
"City of Marion, dba: Marion Transit System","Marion","IN","50485","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0",,,,,,,,"31774",,,,"31774",
"City of Sault Sainte Marie","Sault Sainte Marie","MI","50487","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","26870",,,,,,,,"21864",,,,"48734",
"Paul Bunyan Transit","Bemidji","MN","50489","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","183796",,,,,,,,"0",,"0",,"183796",
"City of Reedsburg, dba: Reedsburg Taxi Service","Reedsburg","WI","50490","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","215384",,,,,,,,"0",,"0",,"215384",
"City of Medford, dba: Medford Shared-Ride Taxi","Medford","WI","50491","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","24324",,,,,,,,"0",,"0",,"24324",
"City of Alma","Alma","MI","50492","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","113535",,,,,,,,"101634",,,,"215169",
"West Central Indiana Economic Development District, dba: Thrive Transportation","Terre Haute","IN","50493","Area Agency on Aging","Rural Reporter","2024",,,,"7","13722",,,,,,,,,,,,"13722",
"City of Dowagiac","Dowagiac","MI","50494","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","24031",,,,,,,,,,,,"24031",
"Interurban Transit Authority","Douglas","MI","50495","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"7","61657",,,,,,,,"47368",,,,"109025",
"Shelby County, dba: Central Illinois Public Transit","Shelbyville","IL","50496","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"21","44966",,,,,,,,,,,,"44966",
"Shelby Public Transit","Sidney","OH","50497","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","40767",,,,,,,,"0",,"0",,"40767",
"Paul Philippe Resource Center, dba: Clinton County Transit","Frankfort","IN","50499","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","16866",,,,,,,,,,,,"16866",
"City of Rhinelander, dba: Rhinelander Shared Ride Taxi","Rhinelander","WI","50500","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","267852",,,,,,,,"0",,"0",,"267852",
"City of Seymour, dba: Seymour Public Transit","Seymour","IN","50501","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","53083",,,,,,,,,,,,"53083",
"City of Galesburg, dba: City of Galesburg Public Transportation","Galesburg","IL","50502","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","63630",,,,,,,,"55965",,"0",,"119595",
"Crawford County Transportation Authority","Grayling","MI","50503","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","80496",,,,,,,,"66670",,,,"147166",
"Productive Alternatives, dba: Transit Alternatives","Fergus Falls","MN","50504","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","157546",,,,,,,,"0",,"0",,"157546",
"City of Merrill, dba: Merrill-Go-Round","Merrill","WI","50505","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","65225",,,,,,,,,,,,"65225",
"City of Berlin, dba: Berlin Shared Ride Taxi Service","Berlin","WI","50506","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","39302",,,,,,,,"0",,"0",,"39302",
"Sawyer County/LCO Transit Commission, dba: Namekagon Transit","Hayward","WI","50507","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","316323",,,,,,,,,,,,"316323",
"Three Rivers Community Action, Inc., dba: Hiawathaland Transit","Zumbrota","MN","50510","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"21","431104",,,,,,,,"0",,"0",,"431104",
"ALTRAN Transit Authority","Munising","MI","50511","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15","325407",,,,,,,,"50022",,,,"375429",
"City of Mauston, dba: Mauston Public Transit","Mauston","WI","50513","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","86985",,,,,,,,"0",,"0",,"86985",
"City of Ionia","Ionia","MI","50514","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","81897",,,,,,,,"41966",,,,"123863",
"University of Minnesota","Minneapolis","MN","50515","University","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","18","0",,,,,,,,"0",,,,"0",
"City of Plymouth, dba: Plymouth Metrolink","Minneapolis","MN","50516","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","21","486840",,,,,,,,"0",,,,"486840",
"City of Maple Grove, dba: Maple Grove Transit","Maple Grove","MN","50517","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","10","683939",,,,,,,,"0",,,,"683939",
"SouthWest Transit","Eden Prairie","MN","50518","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","37","1631473",,"16952",,"8022",,"157670",,"0",,,,"1814117",
"Minnesota Valley Transit Authority","Burnsville","MN","50519","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","101","2740943",,,,,,"22173",,"0",,,,"2763116",
"Arrowhead Economic Opportunity Agency, Inc., dba: Arrowhead Transit","Virginia","MN","50520","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"103","1836007",,,,,,,,"0",,"0",,"1836007",
"Chicago Water Taxi (Wendella)","Chicago","IL","50521","Private-For-Profit Corporation","Full Reporter","2024","16264","Chicago, IL--IN","8671746","3","2213502",,,,"68482",,,,"0",,,,"2281984",
"Lake Erie Transportation Commission, dba: Lake Erie Transit","Monroe","MI","50522","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","58357","Monroe, MI","57260","23","201798",,,,,,,,,,"5428723",,"5630521",
"Sault Ste. Marie Tribe of Chippewa Indians, dba: Tribal Transit","Sault Sainte Marie","MI","50523","Tribe","Reduced Reporter","2024","00026","Michigan Non-UZA","3418966","6","0",,,,,,,,"0",,"0",,"0",
"YWCA Madison Inc.","Madison","WI","50524","Private-Non-Profit Corporation","Reduced Reporter","2024","53200","Madison, WI","450305","9","152669",,,,,,,,"133213",,,,"285882",
"Hamilton County, dba: Hamilton County Express","Noblesville","IN","50525","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","41212","Indianapolis, IN","1699881","17","483419",,,,,,,,,,,,"483419",
"Hancock County, Indiana","Greenfield","IN","50526","City, County or Local Government Unit or Department of Transportation","Planning Reporter","2024","41212","Indianapolis, IN","1699881","0",,,,,,,,,,,,,,
"Bloom Township, dba: Senior Wheels","Chicago Heights","IL","50527","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","5","19119",,,,,,,,"0",,,,"19119",
"Calumet Township","Blue Island","IL","50528","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","3","936",,,,,,,,"0",,"0",,"936",
"City of Palos Heights","Palos Heights","IL","50530","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","3004",,,,,,,,"0",,"0",,"3004",
