"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_fund","income_tax","sales_tax","property_tax","fuel_tax","other_taxes","tolls","other_funds","reduced_reporter_funds","total"
"West Central Mass Transit District","Jacksonville","IL","50414","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","62105","62105"
"Greenville Transit System","Greenville","OH","50415","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","6159","6159"
"Mecosta Osceola Transit Authority","Big Rapids","MI","50416","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","910385","910385"
"City of Tomah, dba: Tomah Transit","Tomah","WI","50418","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","203647","203647"
"Tazewell County, dba: TCRC Inc., DBA We Care","Pekin","IL","50420","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","0","0"
"Morgan County Transit","Mcconnelsville","OH","50421","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","1643","1643"
"Noble County Council on Aging, dba: Noble Transit System","Albion","IN","50422","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","280663","280663"
"Transportation for Logan County, dba: RTC Transportation","Bellefontaine","OH","50424","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","0","0"
"Piatt County","Monticello","IL","50425","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","134228","134228"
"Marquette County Transit Authority, dba: MARQ-TRAN","Marquette","MI","50427","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","0","0","0","0","0","0","0","0","1173719","1173719"
"Semcac, dba: Rolling Hills Transit","Rushford","MN","50428","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","68942","68942"
"Chillicothe Transit System","Chillicothe","OH","50429","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","94950","94950"
"Fosston, City of, dba: Fosston Transit","Fosston","MN","50430","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","19129","19129"
"City of Platteville, dba: Platteville Public Transportation","Platteville","WI","50431","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","193499","193499"
"County of Kenosha, dba: Western Kenosha Transportation","Kenosha","WI","50432","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","116780","116780"
"Great Lakes Community Action Partnership, dba: TRIPS Public Transportation","Fremont","OH","50433","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","0","0"
"Pickaway Area Rural Transit, dba: PICCA Transit","Circleville","OH","50434","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","148854","148854"
"City of Lake Mills, dba: Lake Mills Taxi","Lake Mills","WI","50435","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","46033","46033"
"St. Joseph County Transportation Authority","Three Rivers","MI","50436","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"24","0","0","0","0","0","0","0","0","552716","552716"
"City of Big Rapids","Big Rapids","MI","50437","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","276894","276894"
"Logan Transit System, dba: Logan Public Transit","Glouster","OH","50438","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","50016","50016"
"Seneca-Crawford Area Transportation, dba: North Central Area Transit","Tiffin","OH","50440","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"31","0","0","0","0","0","0","0","0","253090","253090"
"Living Wells in Wabash County Council on Aging, dba: Wabash County Transit","Wabash","IN","50441","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","160673","160673"
"County of La Crosse, dba: Scenic Mississippi Regional Transit","La Crosse","WI","50442","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","252343","252343"
"White County Council on Aging, dba: White County Public Transit","Monticello","IN","50444","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","104662","104662"
"Wadena County, dba: Friendly Rider","Wadena","MN","50446","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","11400","11400"
"Coles County, dba: Coles County Council on Aging","Charleston","IL","50447","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","0","0"
"Watonwan County, dba: Watonwan Take Me There","Saint James","MN","50448","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","0","0"
"Cedar Valley Services, Inc., dba: Southern Minnesota Area Rural Transit","Austin","MN","50450","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"29","0","0","0","0","0","0","0","0","104551","104551"
"Antrim County Board of Commissioners","Bellaire","MI","50452","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","315729","315729"
"Clare County Transit Corporation","Harrison","MI","50453","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","0","0","0","0","0","0","0","0","479858","479858"
"Miami County YMCA, dba: YMCA - Miami County Public Transit","Peru","IN","50454","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","185159","185159"
"Gogebic County Transit","Ironwood","MI","50455","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","224160","224160"
"County of Allegan","Allegan","MI","50456","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"22","0","0","0","0","0","0","0","0","675568","675568"
"Benzie Transportation Authority","Beulah","MI","50457","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","0","0","0","0","0","0","0","0","698613","698613"
"Whiteside County, dba: Whiteside County Public Transportation","Morrison","IL","50458","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","0","0"
"Ludington Mass Transportation Authority","Ludington","MI","50459","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","638110","638110"
"City of Manitowoc, dba: Maritime Metro Transit","Manitowoc","WI","50461","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","905557","905557"
"Harrison County Rural Transit","Cadiz","OH","50462","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","0","0"
"Berrien County Board of Commissioners","Saint Joseph","MI","50463","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","364813","364813"
"Pike County/Community Action Transit System, dba: Community Action Transit System","Piketon","OH","50464","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","24824","24824"
"City of Beaver Dam, dba: Beaver Dam Shared Ride Taxi","Beaver Dam","WI","50466","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","142791","142791"
"Whitley County Council on Aging, dba: Whitley County Transit","Columbia City","IN","50468","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","266447","266447"
"City of Portage, dba: Portage Cab","Portage","WI","50470","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","40919","40919"
"Southwestern MN Opportunity Council, Inc., dba: Prairieland Transit System","Worthington","MN","50471","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","28630","28630"
"Lenawee Public Transportation Authority","Adrian","MI","50473","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","473741","473741"
"Tri-County Action Program, Inc.","Waite Park","MN","50474","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","0","0","0","0","0","0","0","0","106290","106290"
"Yates Township","Idlewild","MI","50476","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","622860","622860"
"City of Marinette, dba: Marinette City Shared Ride Taxi","Marinette","WI","50478","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","63089","63089"
"Columbiana County/Community Action Rural Transit System, dba: Community Action Rural Transit System","Lisbon","OH","50481","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"27","0","0","0","0","0","0","0","0","98243","98243"
"City of Prairie du Chien, dba: Coulee Cab","Prairie Du Chien","WI","50482","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","71117","71117"
"Franklin County Senior Services, dba: Franklin County Public Transit","Brookville","IN","50483","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","129969","129969"
"Fulton County Council on Aging, dba: Fulton County TRANSPO","Rochester","IN","50484","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","90688","90688"
"City of Marion, dba: Marion Transit System","Marion","IN","50485","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","435386","435386"
"City of Sault Sainte Marie","Sault Sainte Marie","MI","50487","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","121316","121316"
"Paul Bunyan Transit","Bemidji","MN","50489","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","18194","18194"
"City of Reedsburg, dba: Reedsburg Taxi Service","Reedsburg","WI","50490","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","49399","49399"
"City of Medford, dba: Medford Shared-Ride Taxi","Medford","WI","50491","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","62182","62182"
"City of Alma","Alma","MI","50492","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","386424","386424"
