"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","income_tax","sales_tax","property_tax","fuel_tax","other_tax","tolls","other_funds","total"
"Huron County Board of Commissioners, dba: Thumb Area Transit","Bad Axe","MI","50370","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"49",,,,,,,,
"Ontonagon County Board of Commissioners","Ontonagon","MI","50371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Cadillac/Wexford Transit Authority, dba: Wexexpress","Cadillac","MI","50374","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"32",,,,,,,,
"City of Whitewater, dba: Whitewater Shared-Ride Taxi","Whitewater","WI","50375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Hancock Area Transportation Services","Findlay","OH","50377","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"36",,,,,,,,
"Becker County","Detroit Lakes","MN","50379","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Ashland Public Transit","Ashland","OH","50382","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Van Buren County Board of Commissioners","Paw Paw","MI","50383","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23",,,,,,,,
"Brown County, dba: Brown County Heartland Express","New Ulm","MN","50384","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Hancock County, dba: Hancock County Public Transportation System","Carthage","IL","50385","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"City of Houghton","Houghton","MI","50386","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Union County Council on Aging, dba: Union County Transit","Liberty","IN","50387","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"Marion Area Transit","Marion","OH","50388","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10",,,,,,,,
"Orange County First Chance Center, dba: Orange County Transit System","Paoli","IN","50389","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"Ashtabula County Transportation System","Jefferson","OH","50390","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15",,,,,,,,
"City of Edgerton, dba: Edgerton Taxi","Edgerton","WI","50391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"YMCA of Vincennes, dba: VanGo","Vincennes","IN","50392","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15",,,,,,,,
"Trailblazer Joint Powers Board, dba: Trailblazer Transit","Glencoe","MN","50394","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"35",,,,,,,,
"Gladwin County Board of Commissioners","Gladwin","MI","50395","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18",,,,,,,,
"City of Jefferson, dba: Jefferson Shared-Ride Taxi","Jefferson","WI","50396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Hubbard County, dba: Hubbard County Heartland Express","Park Rapids","MN","50397","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"City of Belding","Belding","MI","50398","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Fayette County Senior Center, dba: Fayette County Public Transit","Connersville","IN","50399","Area Agency on Aging","Rural Reporter","2024",,,,"9",,,,,,,,
"City of Fort Atkinson, dba: Brown Cab","Fort Atkinson","WI","50400","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Bay Area Rural Transit Commission","Ashland","WI","50401","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17",,,,,,,,
"Wells County Council on Aging, dba: Wells on Wheels","Bluffton","IN","50403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9",,,,,,,,
"City of Greenville","Greenville","MI","50404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"City of Wisconsin Rapids, dba: Wisconsin Rapids Public","Wisconsin Rapids","WI","50405","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Lancaster Public Transit System, dba: Lancaster-Fairfield Public Transit","Lancaster","OH","50406","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19234","Columbus, OH","1567254","16",,,,,,,,
"City of Bedford, dba: Transit Authority of Stone City","Bedford","IN","50407","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Hancock, City of","Hancock","MI","50408","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Clintonville Transit Commission, dba: Clintonville Taxi","Clintonville","WI","50409","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"2",,,,,,,,
"Fayette County Transportation Program, dba: Fayette County Transportation","Washington Court House","OH","50410","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19",,,,,,,,
"Logan County, dba: SHOW BUS Public Transportation, NFP","Lincoln","IL","50411","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Freeport, dba: Pretzel Area Transit","Freeport","IL","50412","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Bay Area Transportation Authority","Traverse City","MI","50413","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88300","Traverse City--Garfield, MI","56890","51",,,,,,,,
"West Central Mass Transit District","Jacksonville","IL","50414","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25",,,,,,,,
"Greenville Transit System","Greenville","OH","50415","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Mecosta Osceola Transit Authority","Big Rapids","MI","50416","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18",,,,,,,,
"City of Tomah, dba: Tomah Transit","Tomah","WI","50418","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Tazewell County, dba: TCRC Inc., DBA We Care","Pekin","IL","50420","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15",,,,,,,,
"Morgan County Transit","Mcconnelsville","OH","50421","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25",,,,,,,,
"Noble County Council on Aging, dba: Noble Transit System","Albion","IN","50422","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11",,,,,,,,
"Transportation for Logan County, dba: RTC Transportation","Bellefontaine","OH","50424","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25",,,,,,,,
"Piatt County","Monticello","IL","50425","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15",,,,,,,,
"Marquette County Transit Authority, dba: MARQ-TRAN","Marquette","MI","50427","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30",,,,,,,,
"Semcac, dba: Rolling Hills Transit","Rushford","MN","50428","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13",,,,,,,,
"Chillicothe Transit System","Chillicothe","OH","50429","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Fosston, City of, dba: Fosston Transit","Fosston","MN","50430","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"City of Platteville, dba: Platteville Public Transportation","Platteville","WI","50431","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"County of Kenosha, dba: Western Kenosha Transportation","Kenosha","WI","50432","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Great Lakes Community Action Partnership, dba: TRIPS Public Transportation","Fremont","OH","50433","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13",,,,,,,,
"Pickaway Area Rural Transit, dba: PICCA Transit","Circleville","OH","50434","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11",,,,,,,,
"City of Lake Mills, dba: Lake Mills Taxi","Lake Mills","WI","50435","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"St. Joseph County Transportation Authority","Three Rivers","MI","50436","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"24",,,,,,,,
"City of Big Rapids","Big Rapids","MI","50437","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Logan Transit System, dba: Logan Public Transit","Glouster","OH","50438","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11",,,,,,,,
"Seneca-Crawford Area Transportation, dba: North Central Area Transit","Tiffin","OH","50440","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"31",,,,,,,,
"Living Wells in Wabash County Council on Aging, dba: Wabash County Transit","Wabash","IN","50441","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"County of La Crosse, dba: Scenic Mississippi Regional Transit","La Crosse","WI","50442","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"White County Council on Aging, dba: White County Public Transit","Monticello","IN","50444","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Wadena County, dba: Friendly Rider","Wadena","MN","50446","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Coles County, dba: Coles County Council on Aging","Charleston","IL","50447","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Watonwan County, dba: Watonwan Take Me There","Saint James","MN","50448","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Cedar Valley Services, Inc., dba: Southern Minnesota Area Rural Transit","Austin","MN","50450","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"29",,,,,,,,
"Antrim County Board of Commissioners","Bellaire","MI","50452","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Clare County Transit Corporation","Harrison","MI","50453","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23",,,,,,,,
"Miami County YMCA, dba: YMCA - Miami County Public Transit","Peru","IN","50454","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11",,,,,,,,
"Gogebic County Transit","Ironwood","MI","50455","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9",,,,,,,,
"County of Allegan","Allegan","MI","50456","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"22",,,,,,,,
"Benzie Transportation Authority","Beulah","MI","50457","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20",,,,,,,,
"Whiteside County, dba: Whiteside County Public Transportation","Morrison","IL","50458","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"Ludington Mass Transportation Authority","Ludington","MI","50459","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18",,,,,,,,
"City of Manitowoc, dba: Maritime Metro Transit","Manitowoc","WI","50461","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Harrison County Rural Transit","Cadiz","OH","50462","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"Berrien County Board of Commissioners","Saint Joseph","MI","50463","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17",,,,,,,,
"Pike County/Community Action Transit System, dba: Community Action Transit System","Piketon","OH","50464","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
