"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fta_urbanized_area_formula","fta_capital_program_5309","fta_rural_progam_5311","other_fta_funds","other_dot_funds","other_federal_funds","total_federal_funds"
"Waukegan Township","Waukegan","IL","50542","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Wheeling Township","Arlington Heights","IL","50543","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","7","0","0","0","0","0","0","0"
"Worth Township","Alsip","IL","50544","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","3","0","0","0","0","0","0","0"
"Village of Bellwood","Bellwood","IL","50545","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"Moraine Township","Highland Park","IL","50546","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"Town of Cicero","Cicero","IL","50547","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","5","0","0","0","0","0","0","0"
"Rich Township","Richton Park","IL","50548","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","6","0","0","0","0","0","0","0"
"Village of Orland Park","Orland Park","IL","50549","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Village of Orland Hills","Orland Hills","IL","50550","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"City of Oak Forest","Oak Forest","IL","50551","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"Lemont Township","Lemont","IL","50552","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","3","0","0","0","0","0","0","0"
"Lake Villa Township, dba: Tri-Township Transit","Lake Villa","IL","50553","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","76474","Round Lake Beach--McHenry--Grayslake, IL--WI","261835","1","0","0","0","0","0","0","0"
"Lisle Township","Lisle","IL","50554","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"Palatine Township","Palatine","IL","50555","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","4","0","0","0","0","0","0","0"
"Washington Township, dba: Township Dial-A-Ride","Beecher","IL","50556","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Bremen Township, dba: Senior Wheels","Oak Forest","IL","50557","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","5","0","0","0","0","0","0","0"
"Hampshire Township","Hampshire","IL","50558","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","4","0","0","0","0","0","0","0"
"Village of Forest Park","Forest Park","IL","50559","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"Village of Norridge, dba: Norridge Bus Service","Norridge","IL","50560","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","10410","0","0","0","0","0","10410"
"Triton College, dba: Success Express","River Grove","IL","50561","University","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"Village of Elmwood Park","Elmwood Park","IL","50562","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Village of Crestwood","Crestwood","IL","50563","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Village of Park Forest, dba: Jolly Trolley","Park Forest","IL","50564","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"City of Berwyn","Berwyn","IL","50565","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","7","0","0","0","0","0","0","0"
"Village of Schaumburg","Schaumburg","IL","50566","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","11","39677","0","0","0","0","0","39677"
"City of Palos Hills, dba: Palos Area Transportation for Elderly and Disabled","Palos Hills","IL","50567","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"City of Wood Dale, dba: Dial-A-Ride","Wood Dale","IL","50568","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Chicago State University","Chicago","IL","50569","University","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Grand Portage Reservation Tribal Council, dba: Grand Portage Tribal Transit","Grand Portage","MN","55222","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","7","0","0","276941","0","0","0","276941"
"Menominee Indian Tribe of Wisconsin, dba: Menominee Regional Public Transit","Keshena","WI","55228","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","28","0","0","4317018","0","0","0","4317018"
"Red Lake Band of the Chippewa, dba: Red Lake Nation Transit","Redlake","MN","55234","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","5","0","0","450699","0","0","0","450699"
"Lac Courte Oreilles Band of Ojibwe, dba: Namekagon Transit","Hayward","WI","55240","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","2","0","0","135455","0","0","24825","160280"
"Fond du Lac Reservation, dba: FDL Transit","Carlton","MN","55246","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","7","0","0","851015","0","0","0","851015"
"Bois Forte Band of Chippewa, dba: Big Woods Transit","Orr","MN","55252","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","11","0","0","795410","0","0","0","795410"
"Leech Lake Band of Ojibwe","Cass Lake","MN","55258","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","11","0","0","914390","0","0","0","914390"
"White Earth Band of Chippewa, dba: White Earth Public Transit","Ogema","MN","55270","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","10","0","0","1577872","0","0","0","1577872"
"Oneida Tribe of Indians of Wisconsin, dba: Oneida Public Transit","Green Bay","WI","55276","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","9","0","0","1655349","2952050","0","0","4607399"
"Bad River Band of Lake Superior Tribe of Chippewa, dba: Bad River Tribe","Odanah","WI","55282","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","2","0","0","604607","0","0","0","604607"
"Lac du Flambeau Band of Lake Superior Chippewa Indians, dba: LdF Transit","Lac Du Flambeau","WI","55300","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","6","0","0","502421","0","0","312746","815167"
"Sangamon County, dba: Sangamon/Menard Area Regional Transit","Springfield","IL","55307","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","272937","0","0","0","272937"
"City of Stoughton","Stoughton","WI","55308","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","53200","Madison, WI","450305","6","0","0","0","0","0","0","0"
"Kankakee-Iroquois Regional Planning Commission, dba: Arrowhead County Public Transportation","Monon","IN","55310","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"18","389723","0","549128","0","0","0","938851"
"City of Cincinnati, dba: The Connector","Cincinnati","OH","55311","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","16885","Cincinnati, OH--KY","1686744","4","528653","0","0","0","0","0","528653"
"City of Milwaukee, dba: Milwaukee Streetcar System - The Hop Streetcar MKE","Milwaukee","WI","55312","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","57466","Milwaukee, WI","1306795","3","2791258","0","0","0","0","0","2791258"
"Marshall County, dba: Marshall County Public Transportation","Lacon","IL","55313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","91667","0","0","0","91667"
"Central Community Transit Joint Powers Board, dba: Central Community Transit","Willmar","MN","55314","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"27","0","0","1285406","0","0","0","1285406"
"Douglas County (Illinois), dba: Coles County Council on Aging","Charleston","IL","55315","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","66021","0","0","0","66021"
"Jersey County","Jerseyville","IL","55316","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","132256","0","0","0","132256"
"County of Walworth, dba: Wal-to-Wal DIAL-a-RIDE","Elkhorn","WI","55318","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","939526","0","0","0","939526"
"Oneida-Vilas Transit Commission, dba: Northwoods Transit Connections","Rhinelander","WI","55319","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"10","0","0","492926","0","0","0","492926"
"Faribault-Martin Counties Joint Powers, dba: Prairie Lakes Transit","Fairmont","MN","55320","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"9","0","0","553209","0","0","0","553209"
"Peoples Express","Whitmore Lake","MI","55321","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24","0","0","405606","433486","0","0","839092"
"Western-Washtenaw Area Value Express","Dexter","MI","55322","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"17","0","0","214690","561746","0","0","776436"
"Pioneer Resources","Muskegon","MI","55323","Private-Non-Profit Corporation","Reduced Reporter","2024","60841","Muskegon--Norton Shores, MI","166414","20","0","0","89849","0","0","0","89849"
"Washington County Commissioners, dba: Community Action Bus Lines","Marietta","OH","55324","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","178658","0","377957","0","0","0","556615"
"Minnesota River Valley Transit","Saint Peter","MN","55325","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0","0","450841","0","0","0","450841"
"United Community Action Partnership, Inc., dba: Community Transit","Marshall","MN","55326","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"39","0","0","2124859","0","0","0","2124859"
