"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_funds","transportation_funds","reduced_reporter_funds","total","total_questionable"
"McKinney Avenue Transit Authority","Dallas","TX","60133","Private-Non-Profit Corporation","Full Reporter","2024","22042","Dallas--Fort Worth--Arlington, TX","5732354","4","0","0","0","0",
"The Woodlands Township","Spring","TX","60134","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","87300","The Woodlands--Conroe, TX","402454","29","378585","0","0","378585",
"Pointe Coupee Parish Government","New Roads","LA","60135","Area Agency on Aging","Rural Reporter","2024",,,,"14","0","0","6075","6075",
"Mid-Delta Transit Community Services, Inc., dba: Mid-Delta Transit","Helena","AR","60136","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"55","0","0","87224","87224",
"North Central Regional Transit District, dba: North Central RTD","Espanola","NM","60138","State Government Unit or Department of Transportation","Reduced Reporter","2024","79363","Santa Fe, NM","94241","22","0","0","0","0",
"Area Agency on Aging of Southeast Arkansas, Inc., dba: Southeast Arkansas Transportation","Pine Bluff","AR","60140","Area Agency on Aging","Rural Reporter","2024",,,,"112","0","0","362660","362660",
"Heart of Texas Council of Governments","Waco","TX","60142","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"16","0","0","625073","625073",
"Rolling Plains Management Corporation, dba: SHARP Lines Rural Public Transportation","Crowell","TX","60143","Other Publicly-Owned or Privately Chartered Corporation","Rural Reporter","2024",,,,"82","0","0","559933","559933",
"Ark-Tex Council of Governments","Texarkana","TX","60145","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"56","0","0","742344","742344",
"United Community Action Program, Inc., dba: Cimmaron Public Transit System","Pawnee","OK","60146","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"47","0","0","538711","538711",
"Kleberg County","Kingsville","TX","60147","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","0","0","412671","412671",
"Village of Milan, dba: Rockin' 66 Express","Milan","NM","60148","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0",
"Pontotoc County Public Transit Authority, dba: Call-A-Ride Public Transit System","Ada","OK","60150","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","41441","41441",
"Grant County, dba: Corre Caminos Transit","Silver City","NM","60151","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0",
"City of Del Rio","Del Rio","TX","60152","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","346597","346597",
"Red River Parish Police Jury","Coushatta","LA","60154","Area Agency on Aging","Rural Reporter","2024",,,,"5","0","0","0","0",
"South East Texas Regional Planning Commission","Beaumont","TX","60155","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"28","0","0","890547","890547",
"City of Socorro, dba: City of Socorro Transportation","Socorro","NM","60157","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0",
"South Plains Community Action Association, Inc., dba: SPARTAN Public Transportation","Levelland","TX","60159","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"39","0","0","868196","868196",
"OSU-Stillwater Community Transit","Stillwater","OK","60160","University","Rural Reporter","2024",,,,"18","0","0","273599","273599",
"City of Eureka Springs","Eureka Springs","AR","60161","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","169752","169752",
"Jefferson Davis Police Jury","Jennings","LA","60163","Area Agency on Aging","Rural Reporter","2024",,,,"4","0","0","0","0",
"Beauregard Parish City of DeRidder","Deridder","LA","60164","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","2884","2884",
"Community Action Development Corporation, dba: Red River Transit","Frederick","OK","60165","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"102","0","0","727879","727879",
"City of Roswell, dba: Roswell Transit","Roswell","NM","60167","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","44292","44292",
"Washington Parish Government","Bogalusa","LA","60168","Area Agency on Aging","Rural Reporter","2024",,,,"8","0","0","0","0",
"City of Ville Platte Evangeline Parish","Ville Platte","LA","60169","Area Agency on Aging","Rural Reporter","2024",,,,"8","0","0","1636","1636",
"KI BOIS Community Action Foundation, Inc., dba: Ki Bois Area Transit","Stigler","OK","60172","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"185","0","0","2024720","2024720",
"City of South Padre Island","South Padre Island","TX","60173","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","769488","769488",
"Rural Economic Assistance League, Inc.","Alice","TX","60175","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32","0","0","890276","890276",
"Senior Center Resources and Public Transit, Inc.","Greenville","TX","60176","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20","0","0","461187","461187",
"El Paso County, dba: El Paso Transportation Authority","El Paso","TX","60179","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","27253","El Paso, TX--NM","854584","162","0","0","1601498","1601498",
"East Feliciana Police Jury","Clinton","LA","60180","Area Agency on Aging","Rural Reporter","2024",,,,"8","0","0","1404","1404",
"City of Guymon, dba: The Ride","Guymon","OK","60181","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","25231","25231",
"Delta Community Action Foundation, Inc., dba: Delta Public Transit","Lindsay","OK","60183","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","57480","57480",
"City of Carlsbad, dba: Carlsbad Municipal Transit System","Carlsbad","NM","60184","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","176006","176006",
"Webb County, dba: El Aguila Rural Transit","Laredo","TX","60185","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","483873","483873",
"East Texas Council of Governments","Kilgore","TX","60186","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"43","0","0","2202851","2202851",
"NW Arkansas Economical Development District, Inc., dba: North Arkansas Transportation Service","Harrison","AR","60189","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"61","0","0","135780","135780",
"City of Hobbs, dba: Hobbs Express","Hobbs","NM","60190","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0",
"Lift Community Action Agency Inc","Hugo","OK","60191","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","0","0","157134","157134",
"Panhandle Community Services","Amarillo","TX","60192","Private-Non-Profit Corporation","Reduced Reporter","2024","01927","Amarillo, TX","205860","50","0","0","1147820","1147820",
"Town of Beaver, dba: Beaver City Transit","Beaver","OK","60193","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","3090","3090",
"Webster Parish Police Jury","Minden","LA","60194","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","3000","3000",
"St Martin Parish Government","Saint Martinville","LA","60195","Area Agency on Aging","Rural Reporter","2024",,,,"4","0","0","0","0",
"Tangipahoa Voluntary Council on Aging","Amite","LA","60196","Area Agency on Aging","Reduced Reporter","2024","36514","Hammond, LA","72526","11","0","0","59787","59787",
"Calcasieu Parish Police Jury","Lake Charles","LA","60198","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","3272","3272",
"City of Franklin St. Mary Parish","Franklin","LA","60199","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","1363","1363",
"Livingston Parish Council","Livingston","LA","60200","Area Agency on Aging","Rural Reporter","2024",,,,"13","0","0","0","0",
"Aspermont Small Business Development Center, Inc., dba: Double Mountain Coach","Aspermont","TX","60202","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","0","0","555039","555039",
"Muskogee County Public Transit Authority, dba: Muskogee County Transit","Muskogee","OK","60203","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"22","0","0","180932","180932",
"Crowley's Ridge Development Council, Inc., dba: North East Arkansas Transit","Jonesboro","AR","60204","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","46000","46000",
"Inca Community Services, Inc., dba: JAMM Transit","Tishomingo","OK","60205","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"47","0","0","290143","290143",
"Zia Therapy Center, Inc., dba: ZTrans","Alamogordo","NM","60206","Private-Non-Profit Corporation","Reduced Reporter","2024","47935","Las Cruces, NM","139338","12","0","0","0","0",
"Assumption Parish Police Jury","Napoleonville","LA","60207","Area Agency on Aging","Rural Reporter","2024",,,,"9","0","0","1685","1685",
"Caldwell Parish Police Jury","Columbia","LA","60209","Area Agency on Aging","Rural Reporter","2024",,,,"4","0","0","1404","1404",
"Vermilion Parish Police Jury","Abbeville","LA","60211","Area Agency on Aging","Rural Reporter","2024",,,,"1","0","0","0","0",
"Logan County Historical Society, dba: First Capital Trolley","Guthrie","OK","60214","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"37","0","0","693785","693785",
"Incorporated County of Los Alamos, dba: Atomic City Transit","Los Alamos","NM","60215","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","197248","197248",
"City of West Monroe/West Ouachita Parish","West Monroe","LA","60217","Area Agency on Aging","Rural Reporter","2024",,,,"11","0","0","0","0",
"Washita Valley Community Action Council, dba: Washita Valley Transit","Chickasha","OK","60220","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","18514","18514",
"St. James Parish Government","Convent","LA","60222","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"21","0","0","21489","21489",
"The Community Pantry, dba: Gallup Express","Gallup","NM","60224","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","0","0",
"City of Clovis, dba: Clovis Area Transit System","Clovis","NM","60225","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","16191","16191",
"Northern Oklahoma Development Authority, dba: Cherokee Strip Transit","Enid","OK","60226","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"38","0","0","316564","316564",
"City of Enid, dba: Enid Transit","Enid","OK","60227","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","27631","Enid, OK","50194","11","0","0","91241","91241",
"Lincoln Parish Police Jury","Ruston","LA","60229","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","1404","1404",
"St. Landry Government","Opelousas","LA","60231","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","3370","3370",
